asset_id,name,indoor_outdoor,timestamp,hazard,exposure_state_p1,feasibility_state_p1,exposure_state_p2,feasibility_state_p2,feasibility_state_p3
A01,Museo del Prado,indoor,12:00,LOW,,FEASIBLE,,FEASIBLE,FEASIBLE
A01,Museo del Prado,indoor,15:00,ELEVATED,,FEASIBLE,,FEASIBLE,FEASIBLE
A01,Museo del Prado,indoor,18:00,SEVERE,,FEASIBLE WITH CONDITIONS,,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS
A02,Museo Nacional Centro de Arte Reina Sofía,indoor,12:00,LOW,,FEASIBLE,,FEASIBLE,FEASIBLE
A02,Museo Nacional Centro de Arte Reina Sofía,indoor,15:00,ELEVATED,,FEASIBLE,,FEASIBLE,FEASIBLE
A02,Museo Nacional Centro de Arte Reina Sofía,indoor,18:00,SEVERE,,FEASIBLE WITH CONDITIONS,,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS
A03,Museo Thyssen-Bornemisza,indoor,12:00,LOW,,FEASIBLE,,FEASIBLE,FEASIBLE
A03,Museo Thyssen-Bornemisza,indoor,15:00,ELEVATED,,FEASIBLE,,FEASIBLE,FEASIBLE
A03,Museo Thyssen-Bornemisza,indoor,18:00,SEVERE,,FEASIBLE WITH CONDITIONS,,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS
A04,CaixaForum Madrid,indoor,12:00,LOW,,FEASIBLE,,FEASIBLE,FEASIBLE
A04,CaixaForum Madrid,indoor,15:00,ELEVATED,,FEASIBLE,,FEASIBLE,FEASIBLE
A04,CaixaForum Madrid,indoor,18:00,SEVERE,,FEASIBLE WITH CONDITIONS,,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS
A05,Museo Naval de Madrid,indoor,12:00,LOW,,FEASIBLE,,FEASIBLE,FEASIBLE
A05,Museo Naval de Madrid,indoor,15:00,ELEVATED,,FEASIBLE,,FEASIBLE,FEASIBLE
A05,Museo Naval de Madrid,indoor,18:00,SEVERE,,FEASIBLE WITH CONDITIONS,,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS
A06,Museo Nacional de Antropología,indoor,12:00,LOW,,FEASIBLE,,FEASIBLE,FEASIBLE
A06,Museo Nacional de Antropología,indoor,15:00,ELEVATED,,FEASIBLE,,FEASIBLE,FEASIBLE
A06,Museo Nacional de Antropología,indoor,18:00,SEVERE,,FEASIBLE WITH CONDITIONS,,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS
A07,Museo Nacional de Artes Decorativas,indoor,12:00,LOW,,FEASIBLE,,FEASIBLE,FEASIBLE
A07,Museo Nacional de Artes Decorativas,indoor,15:00,ELEVATED,,FEASIBLE,,FEASIBLE,FEASIBLE
