asset_id,name,timestamp,feasibility_state_p1,feasibility_state_p2,feasibility_state_p3
A14,Puerta de Alcalá,12:00,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,FEASIBLE
A14,Puerta de Alcalá,15:00,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS
A14,Puerta de Alcalá,18:00,NOT RECOMMENDED,NOT RECOMMENDED,FEASIBLE WITH CONDITIONS
A17,Estatua de Goya,12:00,FEASIBLE,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS
A17,Estatua de Goya,15:00,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS
A17,Estatua de Goya,18:00,FEASIBLE WITH CONDITIONS,NOT RECOMMENDED,NOT RECOMMENDED
A18,Palacio de Cibeles - Ayuntamiento de Madrid,12:00,FEASIBLE,FEASIBLE WITH CONDITIONS,FEASIBLE
A18,Palacio de Cibeles - Ayuntamiento de Madrid,15:00,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS
A18,Palacio de Cibeles - Ayuntamiento de Madrid,18:00,FEASIBLE WITH CONDITIONS,NOT RECOMMENDED,FEASIBLE WITH CONDITIONS
A19,Real Observatorio de Madrid,12:00,FEASIBLE WITH CONDITIONS,FEASIBLE,FEASIBLE
A19,Real Observatorio de Madrid,15:00,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS
A19,Real Observatorio de Madrid,18:00,NOT RECOMMENDED,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS
A21,Real Jardín Botánico de Madrid,12:00,FEASIBLE,FEASIBLE,FEASIBLE WITH CONDITIONS
A21,Real Jardín Botánico de Madrid,15:00,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS
A21,Real Jardín Botánico de Madrid,18:00,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,NOT RECOMMENDED
A23,Jardines de Cecilio Rodríguez,12:00,FEASIBLE,FEASIBLE,FEASIBLE WITH CONDITIONS
A23,Jardines de Cecilio Rodríguez,15:00,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS
A23,Jardines de Cecilio Rodríguez,18:00,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,NOT RECOMMENDED
A24,La Rosaleda,12:00,FEASIBLE,FEASIBLE,FEASIBLE WITH CONDITIONS
A24,La Rosaleda,15:00,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS
A24,La Rosaleda,18:00,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,NOT RECOMMENDED
A25,Jardín del Parterre,12:00,FEASIBLE,FEASIBLE,FEASIBLE WITH CONDITIONS
A25,Jardín del Parterre,15:00,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS
A25,Jardín del Parterre,18:00,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,NOT RECOMMENDED
A26,Monumento a Alfonso XII,12:00,FEASIBLE WITH CONDITIONS,FEASIBLE,FEASIBLE
A26,Monumento a Alfonso XII,15:00,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS
A26,Monumento a Alfonso XII,18:00,NOT RECOMMENDED,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS
A27,Jardines del Arquitecto Herrero Palacios,12:00,FEASIBLE,FEASIBLE,FEASIBLE WITH CONDITIONS
A27,Jardines del Arquitecto Herrero Palacios,15:00,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS
A27,Jardines del Arquitecto Herrero Palacios,18:00,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,NOT RECOMMENDED
