variant,crown_radius_m,asset_id,name,timestamp,utci_phase2_baseline,utci_corrected,utci_delta,feas_phase2_baseline,feas_corrected,decision_changed,corrected_here
narrow,2.0,A23,Jardines de Cecilio Rodríguez,12:00,39.4,39.3,-0.1,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,False,True
narrow,2.0,A24,La Rosaleda,12:00,40.4,40.4,0.0,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,False,False
narrow,2.0,A27,Jardines del Arquitecto Herrero Palacios,12:00,37.6,36.8,-0.8,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,False,True
narrow,2.0,A23,Jardines de Cecilio Rodríguez,15:00,44.4,44.1,-0.3,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,False,True
narrow,2.0,A24,La Rosaleda,15:00,45.0,45.0,0.0,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,False,False
narrow,2.0,A27,Jardines del Arquitecto Herrero Palacios,15:00,43.5,43.3,-0.2,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,False,True
narrow,2.0,A23,Jardines de Cecilio Rodríguez,18:00,41.9,41.8,-0.1,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,False,True
narrow,2.0,A24,La Rosaleda,18:00,45.4,45.4,0.0,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,False,False
narrow,2.0,A27,Jardines del Arquitecto Herrero Palacios,18:00,42.2,42.1,-0.1,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,False,True
central,3.0,A23,Jardines de Cecilio Rodríguez,12:00,39.4,39.1,-0.3,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,False,True
central,3.0,A24,La Rosaleda,12:00,40.4,40.4,0.0,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,False,False
central,3.0,A27,Jardines del Arquitecto Herrero Palacios,12:00,37.6,36.5,-1.1,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,False,True
central,3.0,A23,Jardines de Cecilio Rodríguez,15:00,44.4,44.0,-0.4,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,False,True
central,3.0,A24,La Rosaleda,15:00,45.0,45.0,0.0,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,False,False
central,3.0,A27,Jardines del Arquitecto Herrero Palacios,15:00,43.5,43.1,-0.4,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,False,True
central,3.0,A23,Jardines de Cecilio Rodríguez,18:00,41.9,41.8,-0.1,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,False,True
central,3.0,A24,La Rosaleda,18:00,45.4,45.4,0.0,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,False,False
central,3.0,A27,Jardines del Arquitecto Herrero Palacios,18:00,42.2,41.8,-0.4,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,False,True
wide,4.0,A23,Jardines de Cecilio Rodríguez,12:00,39.4,39.0,-0.4,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,False,True
wide,4.0,A24,La Rosaleda,12:00,40.4,40.4,0.0,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,False,False
wide,4.0,A27,Jardines del Arquitecto Herrero Palacios,12:00,37.6,35.8,-1.8,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,False,True
wide,4.0,A23,Jardines de Cecilio Rodríguez,15:00,44.4,43.7,-0.7,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,False,True
wide,4.0,A24,La Rosaleda,15:00,45.0,45.0,0.0,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,False,False
wide,4.0,A27,Jardines del Arquitecto Herrero Palacios,15:00,43.5,42.7,-0.8,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,False,True
wide,4.0,A23,Jardines de Cecilio Rodríguez,18:00,41.9,41.6,-0.3,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,False,True
wide,4.0,A24,La Rosaleda,18:00,45.4,45.4,0.0,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,False,False
wide,4.0,A27,Jardines del Arquitecto Herrero Palacios,18:00,42.2,41.6,-0.6,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,False,True
