asset_id,name,indoor_outdoor,timestamp,temp_c_barajas,meteorological_hazard_state,tree_count_50m,exposure_measurement_method,exposure_state,exposure_override_note,water_dist_m,transit_dist_m,adaptation_state,feasibility_state,exclusion_reason,evidence_confidence,missing_inputs,method_version,station_used,station_representativeness_note
A01,Museo del Prado,indoor,2023-08-21T12:00:00+02:00,34.2,LOW,0,point+50m radius (centroid),,,137.1,139.3,GOOD,FEASIBLE,,MEDIUM,,phase1.1-baseline-hardening-v1.1,"AEMET 08221 Madrid/Barajas (WMO) / AEMET indicativo 3129, ~9 km NE of study area","Hourly hazard input is Madrid/Barajas (~9 km NE of study area; open airport apron). Real Retiro (in/adjacent to study area) hourly data was sought and found unobtainable without account registration or payment - see docs/PHASE1_1_BASELINE_HARDENING.md Audit 1. Retiro's OFFICIAL daily max (40.0C, 21 Aug 2023) and monthly mean (28.0C, Aug 2023) are used as independent cross-checks: Barajas ran +0.5C warmer at daily-max and +0.11C warmer at monthly-mean for the same period, i.e. close regional agreement at daily/monthly scale, but hourly-scale agreement is NOT independently verified and must not be assumed at sub-daily resolution."
A01,Museo del Prado,indoor,2023-08-21T15:00:00+02:00,38.8,ELEVATED,0,point+50m radius (centroid),,,137.1,139.3,GOOD,FEASIBLE,,MEDIUM,,phase1.1-baseline-hardening-v1.1,"AEMET 08221 Madrid/Barajas (WMO) / AEMET indicativo 3129, ~9 km NE of study area","Hourly hazard input is Madrid/Barajas (~9 km NE of study area; open airport apron). Real Retiro (in/adjacent to study area) hourly data was sought and found unobtainable without account registration or payment - see docs/PHASE1_1_BASELINE_HARDENING.md Audit 1. Retiro's OFFICIAL daily max (40.0C, 21 Aug 2023) and monthly mean (28.0C, Aug 2023) are used as independent cross-checks: Barajas ran +0.5C warmer at daily-max and +0.11C warmer at monthly-mean for the same period, i.e. close regional agreement at daily/monthly scale, but hourly-scale agreement is NOT independently verified and must not be assumed at sub-daily resolution."
A01,Museo del Prado,indoor,2023-08-21T18:00:00+02:00,40.5,SEVERE,0,point+50m radius (centroid),,,137.1,139.3,GOOD,FEASIBLE WITH CONDITIONS,,LOW,,phase1.1-baseline-hardening-v1.1,"AEMET 08221 Madrid/Barajas (WMO) / AEMET indicativo 3129, ~9 km NE of study area","Hourly hazard input is Madrid/Barajas (~9 km NE of study area; open airport apron). Real Retiro (in/adjacent to study area) hourly data was sought and found unobtainable without account registration or payment - see docs/PHASE1_1_BASELINE_HARDENING.md Audit 1. Retiro's OFFICIAL daily max (40.0C, 21 Aug 2023) and monthly mean (28.0C, Aug 2023) are used as independent cross-checks: Barajas ran +0.5C warmer at daily-max and +0.11C warmer at monthly-mean for the same period, i.e. close regional agreement at daily/monthly scale, but hourly-scale agreement is NOT independently verified and must not be assumed at sub-daily resolution."
A02,Museo Nacional Centro de Arte Reina Sofía,indoor,2023-08-21T12:00:00+02:00,34.2,LOW,0,point+50m radius (centroid),,,27.2,94.5,GOOD,FEASIBLE,,MEDIUM,,phase1.1-baseline-hardening-v1.1,"AEMET 08221 Madrid/Barajas (WMO) / AEMET indicativo 3129, ~9 km NE of study area","Hourly hazard input is Madrid/Barajas (~9 km NE of study area; open airport apron). Real Retiro (in/adjacent to study area) hourly data was sought and found unobtainable without account registration or payment - see docs/PHASE1_1_BASELINE_HARDENING.md Audit 1. Retiro's OFFICIAL daily max (40.0C, 21 Aug 2023) and monthly mean (28.0C, Aug 2023) are used as independent cross-checks: Barajas ran +0.5C warmer at daily-max and +0.11C warmer at monthly-mean for the same period, i.e. close regional agreement at daily/monthly scale, but hourly-scale agreement is NOT independently verified and must not be assumed at sub-daily resolution."
A02,Museo Nacional Centro de Arte Reina Sofía,indoor,2023-08-21T15:00:00+02:00,38.8,ELEVATED,0,point+50m radius (centroid),,,27.2,94.5,GOOD,FEASIBLE,,MEDIUM,,phase1.1-baseline-hardening-v1.1,"AEMET 08221 Madrid/Barajas (WMO) / AEMET indicativo 3129, ~9 km NE of study area","Hourly hazard input is Madrid/Barajas (~9 km NE of study area; open airport apron). Real Retiro (in/adjacent to study area) hourly data was sought and found unobtainable without account registration or payment - see docs/PHASE1_1_BASELINE_HARDENING.md Audit 1. Retiro's OFFICIAL daily max (40.0C, 21 Aug 2023) and monthly mean (28.0C, Aug 2023) are used as independent cross-checks: Barajas ran +0.5C warmer at daily-max and +0.11C warmer at monthly-mean for the same period, i.e. close regional agreement at daily/monthly scale, but hourly-scale agreement is NOT independently verified and must not be assumed at sub-daily resolution."
A02,Museo Nacional Centro de Arte Reina Sofía,indoor,2023-08-21T18:00:00+02:00,40.5,SEVERE,0,point+50m radius (centroid),,,27.2,94.5,GOOD,FEASIBLE WITH CONDITIONS,,LOW,,phase1.1-baseline-hardening-v1.1,"AEMET 08221 Madrid/Barajas (WMO) / AEMET indicativo 3129, ~9 km NE of study area","Hourly hazard input is Madrid/Barajas (~9 km NE of study area; open airport apron). Real Retiro (in/adjacent to study area) hourly data was sought and found unobtainable without account registration or payment - see docs/PHASE1_1_BASELINE_HARDENING.md Audit 1. Retiro's OFFICIAL daily max (40.0C, 21 Aug 2023) and monthly mean (28.0C, Aug 2023) are used as independent cross-checks: Barajas ran +0.5C warmer at daily-max and +0.11C warmer at monthly-mean for the same period, i.e. close regional agreement at daily/monthly scale, but hourly-scale agreement is NOT independently verified and must not be assumed at sub-daily resolution."
A03,Museo Thyssen-Bornemisza,indoor,2023-08-21T12:00:00+02:00,34.2,LOW,0,point+50m radius (centroid),,,76.4,137.1,GOOD,FEASIBLE,,MEDIUM,,phase1.1-baseline-hardening-v1.1,"AEMET 08221 Madrid/Barajas (WMO) / AEMET indicativo 3129, ~9 km NE of study area","Hourly hazard input is Madrid/Barajas (~9 km NE of study area; open airport apron). Real Retiro (in/adjacent to study area) hourly data was sought and found unobtainable without account registration or payment - see docs/PHASE1_1_BASELINE_HARDENING.md Audit 1. Retiro's OFFICIAL daily max (40.0C, 21 Aug 2023) and monthly mean (28.0C, Aug 2023) are used as independent cross-checks: Barajas ran +0.5C warmer at daily-max and +0.11C warmer at monthly-mean for the same period, i.e. close regional agreement at daily/monthly scale, but hourly-scale agreement is NOT independently verified and must not be assumed at sub-daily resolution."
A03,Museo Thyssen-Bornemisza,indoor,2023-08-21T15:00:00+02:00,38.8,ELEVATED,0,point+50m radius (centroid),,,76.4,137.1,GOOD,FEASIBLE,,MEDIUM,,phase1.1-baseline-hardening-v1.1,"AEMET 08221 Madrid/Barajas (WMO) / AEMET indicativo 3129, ~9 km NE of study area","Hourly hazard input is Madrid/Barajas (~9 km NE of study area; open airport apron). Real Retiro (in/adjacent to study area) hourly data was sought and found unobtainable without account registration or payment - see docs/PHASE1_1_BASELINE_HARDENING.md Audit 1. Retiro's OFFICIAL daily max (40.0C, 21 Aug 2023) and monthly mean (28.0C, Aug 2023) are used as independent cross-checks: Barajas ran +0.5C warmer at daily-max and +0.11C warmer at monthly-mean for the same period, i.e. close regional agreement at daily/monthly scale, but hourly-scale agreement is NOT independently verified and must not be assumed at sub-daily resolution."
A03,Museo Thyssen-Bornemisza,indoor,2023-08-21T18:00:00+02:00,40.5,SEVERE,0,point+50m radius (centroid),,,76.4,137.1,GOOD,FEASIBLE WITH CONDITIONS,,LOW,,phase1.1-baseline-hardening-v1.1,"AEMET 08221 Madrid/Barajas (WMO) / AEMET indicativo 3129, ~9 km NE of study area","Hourly hazard input is Madrid/Barajas (~9 km NE of study area; open airport apron). Real Retiro (in/adjacent to study area) hourly data was sought and found unobtainable without account registration or payment - see docs/PHASE1_1_BASELINE_HARDENING.md Audit 1. Retiro's OFFICIAL daily max (40.0C, 21 Aug 2023) and monthly mean (28.0C, Aug 2023) are used as independent cross-checks: Barajas ran +0.5C warmer at daily-max and +0.11C warmer at monthly-mean for the same period, i.e. close regional agreement at daily/monthly scale, but hourly-scale agreement is NOT independently verified and must not be assumed at sub-daily resolution."
A04,CaixaForum Madrid,indoor,2023-08-21T12:00:00+02:00,34.2,LOW,0,point+50m radius (centroid),,,116.7,130.1,GOOD,FEASIBLE,,MEDIUM,,phase1.1-baseline-hardening-v1.1,"AEMET 08221 Madrid/Barajas (WMO) / AEMET indicativo 3129, ~9 km NE of study area","Hourly hazard input is Madrid/Barajas (~9 km NE of study area; open airport apron). Real Retiro (in/adjacent to study area) hourly data was sought and found unobtainable without account registration or payment - see docs/PHASE1_1_BASELINE_HARDENING.md Audit 1. Retiro's OFFICIAL daily max (40.0C, 21 Aug 2023) and monthly mean (28.0C, Aug 2023) are used as independent cross-checks: Barajas ran +0.5C warmer at daily-max and +0.11C warmer at monthly-mean for the same period, i.e. close regional agreement at daily/monthly scale, but hourly-scale agreement is NOT independently verified and must not be assumed at sub-daily resolution."
