asset_id,name,indoor_outdoor,morphology,timestamp,OSM_tree_proxy,Madrid_tree_proxy,Copernicus_TCD_proxy,green_polygon_proxy,exposure_state_OSM,exposure_state_Madrid,exposure_state_TCD,exposure_state_green,feasibility_OSM,feasibility_Madrid,feasibility_TCD,feasibility_green,proxy_sensitive,disagreement_direction,evidence_notes
A01,Museo del Prado,indoor,indoor,2023-08-21T12:00:00+02:00,0,6,0.0,15.9,,,,,FEASIBLE,FEASIBLE,FEASIBLE,FEASIBLE,False,,"indoor asset - exposure gate bypassed, proxy choice cannot affect outcome"
A01,Museo del Prado,indoor,indoor,2023-08-21T15:00:00+02:00,0,6,0.0,15.9,,,,,FEASIBLE,FEASIBLE,FEASIBLE,FEASIBLE,False,,"indoor asset - exposure gate bypassed, proxy choice cannot affect outcome"
A01,Museo del Prado,indoor,indoor,2023-08-21T18:00:00+02:00,0,6,0.0,15.9,,,,,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,False,,"indoor asset - exposure gate bypassed, proxy choice cannot affect outcome"
A02,Museo Nacional Centro de Arte Reina Sofía,indoor,indoor,2023-08-21T12:00:00+02:00,0,0,22.4,25.9,,,,,FEASIBLE,FEASIBLE,FEASIBLE,FEASIBLE,False,,"indoor asset - exposure gate bypassed, proxy choice cannot affect outcome"
A02,Museo Nacional Centro de Arte Reina Sofía,indoor,indoor,2023-08-21T15:00:00+02:00,0,0,22.4,25.9,,,,,FEASIBLE,FEASIBLE,FEASIBLE,FEASIBLE,False,,"indoor asset - exposure gate bypassed, proxy choice cannot affect outcome"
A02,Museo Nacional Centro de Arte Reina Sofía,indoor,indoor,2023-08-21T18:00:00+02:00,0,0,22.4,25.9,,,,,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,False,,"indoor asset - exposure gate bypassed, proxy choice cannot affect outcome"
A03,Museo Thyssen-Bornemisza,indoor,indoor,2023-08-21T12:00:00+02:00,0,0,7.0,21.1,,,,,FEASIBLE,FEASIBLE,FEASIBLE,FEASIBLE,False,,"indoor asset - exposure gate bypassed, proxy choice cannot affect outcome"
A03,Museo Thyssen-Bornemisza,indoor,indoor,2023-08-21T15:00:00+02:00,0,0,7.0,21.1,,,,,FEASIBLE,FEASIBLE,FEASIBLE,FEASIBLE,False,,"indoor asset - exposure gate bypassed, proxy choice cannot affect outcome"
A03,Museo Thyssen-Bornemisza,indoor,indoor,2023-08-21T18:00:00+02:00,0,0,7.0,21.1,,,,,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,False,,"indoor asset - exposure gate bypassed, proxy choice cannot affect outcome"
A04,CaixaForum Madrid,indoor,indoor,2023-08-21T12:00:00+02:00,0,8,0.4,0.0,,,,,FEASIBLE,FEASIBLE,FEASIBLE,FEASIBLE,False,,"indoor asset - exposure gate bypassed, proxy choice cannot affect outcome"
A04,CaixaForum Madrid,indoor,indoor,2023-08-21T15:00:00+02:00,0,8,0.4,0.0,,,,,FEASIBLE,FEASIBLE,FEASIBLE,FEASIBLE,False,,"indoor asset - exposure gate bypassed, proxy choice cannot affect outcome"
A04,CaixaForum Madrid,indoor,indoor,2023-08-21T18:00:00+02:00,0,8,0.4,0.0,,,,,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,False,,"indoor asset - exposure gate bypassed, proxy choice cannot affect outcome"
A05,Museo Naval de Madrid,indoor,indoor,2023-08-21T12:00:00+02:00,0,20,6.5,0.0,,,,,FEASIBLE,FEASIBLE,FEASIBLE,FEASIBLE,False,,"indoor asset - exposure gate bypassed, proxy choice cannot affect outcome"
A05,Museo Naval de Madrid,indoor,indoor,2023-08-21T15:00:00+02:00,0,20,6.5,0.0,,,,,FEASIBLE,FEASIBLE,FEASIBLE,FEASIBLE,False,,"indoor asset - exposure gate bypassed, proxy choice cannot affect outcome"
A05,Museo Naval de Madrid,indoor,indoor,2023-08-21T18:00:00+02:00,0,20,6.5,0.0,,,,,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,False,,"indoor asset - exposure gate bypassed, proxy choice cannot affect outcome"
A06,Museo Nacional de Antropología,indoor,indoor,2023-08-21T12:00:00+02:00,1,25,15.7,0.0,,,,,FEASIBLE,FEASIBLE,FEASIBLE,FEASIBLE,False,,"indoor asset - exposure gate bypassed, proxy choice cannot affect outcome"
A06,Museo Nacional de Antropología,indoor,indoor,2023-08-21T15:00:00+02:00,1,25,15.7,0.0,,,,,FEASIBLE,FEASIBLE,FEASIBLE,FEASIBLE,False,,"indoor asset - exposure gate bypassed, proxy choice cannot affect outcome"
A06,Museo Nacional de Antropología,indoor,indoor,2023-08-21T18:00:00+02:00,1,25,15.7,0.0,,,,,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,False,,"indoor asset - exposure gate bypassed, proxy choice cannot affect outcome"
A07,Museo Nacional de Artes Decorativas,indoor,indoor,2023-08-21T12:00:00+02:00,5,32,0.4,0.0,,,,,FEASIBLE,FEASIBLE,FEASIBLE,FEASIBLE,False,,"indoor asset - exposure gate bypassed, proxy choice cannot affect outcome"
A07,Museo Nacional de Artes Decorativas,indoor,indoor,2023-08-21T15:00:00+02:00,5,32,0.4,0.0,,,,,FEASIBLE,FEASIBLE,FEASIBLE,FEASIBLE,False,,"indoor asset - exposure gate bypassed, proxy choice cannot affect outcome"
A07,Museo Nacional de Artes Decorativas,indoor,indoor,2023-08-21T18:00:00+02:00,5,32,0.4,0.0,,,,,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,FEASIBLE WITH CONDITIONS,False,,"indoor asset - exposure gate bypassed, proxy choice cannot affect outcome"
A08,Real Fábrica de Tapices,indoor,indoor,2023-08-21T12:00:00+02:00,0,18,21.6,0.0,,,,,FEASIBLE,FEASIBLE,FEASIBLE,FEASIBLE,False,,"indoor asset - exposure gate bypassed, proxy choice cannot affect outcome"
