date,hour_utc,temp_c,dwpt_c,rhum_pct,prcp_mm,snow_mm,wdir_deg,wspd_kmh,wpgt_kmh,pres_hpa,tsun_min,coco
2023-08-01,00,25.6,5.2,27,0.0,,70,3.6,,1013.1,,1
2023-08-01,01,23.8,4.7,29,0.0,,150,3.6,,1013.3,,1
2023-08-01,02,23.2,7.3,36,0.0,,140,9.4,,1013.3,,1
2023-08-01,03,23.3,5.2,31,0.0,,120,9.4,,1013.3,,1
2023-08-01,04,20.5,5.7,38,0.0,,120,5.4,,1014.3,,1
2023-08-01,05,20.6,6.2,39,0.0,,130,3.6,,1014.4,,1
2023-08-01,06,21.3,6.4,38,0.0,0,120,5.4,,1014.4,,1
2023-08-01,07,25.3,7.0,31,0.0,,80,3.6,,1014.0,,1
2023-08-01,08,26.6,7.1,29,0.0,,350,5.4,,1013.9,,1
2023-08-01,09,29.6,7.5,25,0.0,,110,5.4,,1013.0,,1
2023-08-01,10,30.3,7.5,24,0.0,,240,7.6,,1013.0,,1
2023-08-01,11,31.5,4.3,18,0.0,,270,5.4,,1012.1,,1
2023-08-01,12,33.4,5.0,17,0.0,,210,11.2,,1011.2,,1
2023-08-01,13,34.5,5.0,16,0.0,,230,9.4,,1010.4,,1
2023-08-01,14,35.3,5.7,16,0.0,,10,7.6,,1009.6,,1
2023-08-01,15,36.3,4.6,14,0.0,,170,5.4,,1008.7,,1
2023-08-01,16,36.6,4.8,14,0.0,,310,5.4,,1008.1,,1
2023-08-01,17,36.6,5.8,15,0.0,,190,9.4,,1007.7,,1
2023-08-01,18,36.5,5.7,15,0.0,,40,3.6,,1007.4,,1
2023-08-01,19,35.3,7.4,18,0.0,,360,7.6,,1007.8,,1
2023-08-01,20,32.0,8.3,23,0.0,,360,5.4,,1009.0,,1
2023-08-01,21,30.1,7.9,25,0.0,,30,3.6,,1009.8,,1
2023-08-01,22,28.0,8.8,30,0.0,,50,5.4,,1010.6,,1
2023-08-01,23,27.1,8.5,31,0.0,,60,5.4,,1010.8,,1
2023-08-02,00,25.4,7.5,32,0.0,,230,1.8,,1011.2,,1
2023-08-02,01,23.7,8.1,37,0.0,,20,3.6,,1011.3,,1
2023-08-02,02,23.0,8.3,39,0.0,,350,1.8,,1011.3,,1
2023-08-02,03,21.6,8.8,44,0.0,,20,7.6,,1011.3,,1
2023-08-02,04,20.6,8.6,46,0.0,,360,3.6,,1011.4,,1
2023-08-02,05,19.5,8.5,49,0.0,,20,5.4,,1011.7,,1
2023-08-02,06,19.5,9.1,51,0.0,0,30,5.4,,1011.8,,1
2023-08-02,07,24.3,9.1,38,0.0,,110,5.4,,1010.8,,1
2023-08-02,08,27.3,9.6,33,0.0,,150,5.4,,1010.0,,1
2023-08-02,09,29.7,10.3,30,0.0,,180,3.6,,1009.2,,1
2023-08-02,10,31.2,13.5,34,0.0,,210,14.8,,1008.8,,1
2023-08-02,11,32.8,12.4,29,0.0,,210,13.0,,1008.1,,1
2023-08-02,12,34.6,10.5,23,0.0,,250,16.6,,1007.0,,1
2023-08-02,13,35.5,6.7,17,0.0,,230,20.5,,1006.4,,1
2023-08-02,14,35.9,6.2,16,0.0,,260,27.7,,1006.1,,1
2023-08-02,15,36.0,8.8,19,0.0,,280,24.1,,1005.5,,1
2023-08-02,16,35.5,8.4,19,0.0,,310,24.1,,1005.5,,1
2023-08-02,17,34.9,10.7,23,0.0,,300,25.9,,1005.3,,1
2023-08-02,18,34.1,9.4,22,0.0,,310,29.5,,1005.6,,1
2023-08-02,19,32.2,11.4,28,0.0,,320,33.5,,1006.4,,1
2023-08-02,20,31.0,12.9,33,0.0,,310,25.9,,1012.0,,1
2023-08-02,21,29.2,13.8,39,0.0,,290,20.5,,1008.6,,1
2023-08-02,22,28.4,14.3,42,0.0,,290,18.4,,1009.2,,1
2023-08-02,23,27.4,14.8,46,0.0,,290,16.6,,1009.6,,1
2023-08-03,00,26.4,14.5,48,0.0,,310,20.5,,1010.0,,1
2023-08-03,01,26.0,14.1,48,0.0,,310,18.4,,1009.9,,1
2023-08-03,02,24.3,13.8,52,0.0,,70,5.4,,1010.3,,1
2023-08-03,03,23.2,14.2,57,0.0,,90,7.6,,1010.6,,1
2023-08-03,04,22.3,14.4,61,0.0,,130,7.6,,1010.8,,1
2023-08-03,05,21.8,12.6,56,0.0,,50,5.4,,1011.3,,1
2023-08-03,06,21.3,11.0,52,0.0,0,30,1.8,,1011.9,,1
2023-08-03,07,24.0,10.7,43,0.0,,70,5.4,,1011.5,,1
2023-08-03,08,25.8,10.4,38,0.0,,50,9.4,,1011.6,,1
2023-08-03,09,27.3,11.3,37,0.0,,70,7.6,,1011.2,,1
2023-08-03,10,28.1,11.6,36,0.0,,20,3.6,,1011.2,,1
2023-08-03,11,28.7,10.8,33,0.0,,250,7.6,,1010.8,,1
2023-08-03,12,30.2,10.7,30,0.0,,350,3.6,,1010.2,,1
2023-08-03,13,31.0,8.7,25,0.0,,280,9.4,,1009.6,,1
2023-08-03,14,31.8,8.1,23,0.0,,290,14.8,,1008.8,,1
2023-08-03,15,32.8,6.9,20,0.0,,150,7.6,,1008.2,,1
2023-08-03,16,33.5,5.1,17,0.0,,10,14.8,,1007.6,,1
2023-08-03,17,32.4,3.4,16,0.0,,20,14.8,,1008.0,,1
2023-08-03,18,31.2,2.4,16,0.0,,360,22.3,,1008.9,,1
2023-08-03,19,28.7,1.2,17,0.0,,360,22.3,,1010.3,,1
