date,hour_utc,temp_c,dwpt_c,rhum_pct,prcp_mm,snow_mm,wdir_deg,wspd_kmh,wpgt_kmh,pres_hpa,tsun_min,coco
2023-08-19,00,24.3,7.0,33,0.0,,160,3.6,,1014.2,,1
2023-08-19,01,22.8,7.7,38,0.0,,100,7.6,,1014.7,,1
2023-08-19,02,21.2,6.3,38,0.0,,10,3.6,,1015.6,,1
2023-08-19,03,20.3,6.3,40,0.0,,340,3.6,,1015.7,,1
2023-08-19,04,19.7,6.1,41,0.0,,350,11.2,,1016.1,,1
2023-08-19,05,18.8,6.0,43,0.0,,360,3.6,,1016.6,,1
2023-08-19,06,18.8,5.6,42,0.0,0,140,5.4,,1017.3,,1
2023-08-19,07,22.4,5.8,34,0.0,,360,1.8,,1017.1,,1
2023-08-19,08,25.3,7.0,31,0.0,,100,3.6,,1016.7,,1
2023-08-19,09,27.5,8.4,30,0.0,,190,5.4,,1016.4,,1
2023-08-19,10,30.1,9.6,28,0.0,,190,7.6,,1015.8,,1
2023-08-19,11,32.5,11.6,28,0.0,,190,7.6,,1015.1,,1
2023-08-19,12,33.6,11.5,26,0.0,,230,11.2,,1014.6,,1
2023-08-19,13,34.0,10.6,24,0.0,,280,11.2,,1014.1,,1
2023-08-19,14,35.8,10.1,21,0.0,,230,13.0,,1013.4,,1
2023-08-19,15,36.3,9.0,19,0.0,,200,16.6,,1012.9,,2
2023-08-19,16,37.1,7.1,16,0.0,,200,14.8,,1012.4,,1
2023-08-19,17,36.7,8.5,18,0.0,,220,7.6,,1012.3,,1
2023-08-19,18,36.2,8.1,18,0.0,,210,13.0,,1012.4,,1
2023-08-19,19,34.5,7.5,19,0.0,,220,13.0,,1013.1,,1
2023-08-19,20,33.1,7.9,21,0.0,,250,9.4,,1014.1,,1
2023-08-19,21,32.1,7.0,21,0.0,,260,11.2,,1014.6,,1
2023-08-19,22,29.4,7.9,26,0.0,,30,3.6,,1015.3,,1
2023-08-19,23,27.4,6.8,27,0.0,,120,5.4,,1015.8,,1
2023-08-20,00,25.8,6.4,29,0.0,,110,7.6,,1016.5,,1
2023-08-20,01,24.5,7.2,33,0.0,,130,3.6,,1016.8,,1
2023-08-20,02,23.8,7.0,34,0.0,,100,7.6,,1017.2,,1
2023-08-20,03,22.3,7.7,39,0.0,,350,3.6,,1017.7,,1
2023-08-20,04,21.3,7.5,41,0.0,,10,3.6,,1018.1,,1
2023-08-20,05,20.5,7.8,44,0.0,,350,3.6,,1018.5,,1
2023-08-20,06,19.8,7.8,46,0.0,0,360,3.6,,1019.1,,1
2023-08-20,07,22.4,7.8,39,0.0,,360,5.4,,1018.9,,1
2023-08-20,08,27.1,8.5,31,0.0,,90,5.4,,1018.1,,1
2023-08-20,09,29.5,8.5,27,0.0,,160,7.6,,1017.7,,1
2023-08-20,10,31.4,9.6,26,0.0,,170,5.4,,1017.1,,1
2023-08-20,11,33.7,9.0,22,0.0,,190,9.4,,1016.4,,1
2023-08-20,12,35.7,9.3,20,0.0,,240,9.4,,1015.4,,1
2023-08-20,13,37.3,8.2,17,0.0,,180,5.4,,1014.6,,1
2023-08-20,14,37.9,5.8,14,0.0,,260,11.2,,1014.0,,1
2023-08-20,15,38.6,5.3,13,0.0,,300,9.4,,1013.2,,1
2023-08-20,16,38.8,4.3,12,0.0,,180,11.2,,1012.9,,1
2023-08-20,17,39.0,4.4,12,0.0,,240,7.6,,1012.5,,1
2023-08-20,18,38.4,4.0,12,0.0,,190,9.4,,1012.7,,1
2023-08-20,19,36.2,3.4,13,0.0,,200,11.2,,1013.7,,1
2023-08-20,20,34.4,5.8,17,0.0,,240,7.6,,1014.4,,1
2023-08-20,21,30.6,5.8,21,0.0,,230,1.8,,1015.9,,1
2023-08-20,22,28.5,5.4,23,0.0,,360,5.4,,1016.6,,1
2023-08-20,23,27.0,5.3,25,0.0,,0,0.0,,1017.0,,1
2023-08-21,00,26.2,5.7,27,0.0,,110,3.6,,1018.1,,1
2023-08-21,01,25.8,7.9,32,0.0,,100,7.6,,1018.0,,1
2023-08-21,02,24.6,7.7,34,0.0,,20,3.6,,1018.5,,1
2023-08-21,03,23.6,6.8,34,0.0,,350,11.2,,1019.0,,1
2023-08-21,04,23.8,7.4,35,0.0,,340,11.2,,1018.9,,1
2023-08-21,05,22.3,6.9,37,0.0,,10,7.6,,1019.5,,1
2023-08-21,06,21.9,7.7,40,0.0,0,350,3.6,,1019.9,,1
2023-08-21,07,24.7,8.6,36,0.0,,360,3.6,,1019.4,,1
2023-08-21,08,27.4,9.3,32,0.0,,310,3.6,,1018.6,,1
2023-08-21,09,32.2,10.3,26,0.0,,70,5.4,,1017.3,,1
2023-08-21,10,34.2,13.1,28,0.0,,90,9.4,,1016.6,,1
2023-08-21,11,36.1,13.6,26,0.0,,180,7.6,,1015.8,,1
2023-08-21,12,37.5,13.5,24,0.0,,160,7.6,,1014.8,,1
