date,hour_utc,temp_c,dwpt_c,rhum_pct,prcp_mm,snow_mm,wdir_deg,wspd_kmh,wpgt_kmh,pres_hpa,tsun_min,coco
2021-08-11,00,25.8,13.0,45,,,110,3.6,,1013.3,,2
2021-08-11,01,24.6,13.2,49,,,110,5.4,,1013.7,,1
2021-08-11,02,23.4,12.7,51,,,110,3.6,,1014.1,,1
2021-08-11,03,22.8,13.0,54,,,30,9.4,,1014.3,,1
2021-08-11,04,22.5,12.4,53,,,350,7.6,,1014.3,,2
2021-08-11,05,21.9,12.5,55,,,350,3.6,,1014.8,,2
2021-08-11,06,21.4,13.1,59,,0,350,3.6,,1015.7,,2
2021-08-11,07,23.8,13.4,52,,,350,5.4,,1015.4,,2
2021-08-11,08,26.3,13.1,44,,,350,7.6,,1014.9,,1
2021-08-11,09,28.9,13.2,38,,,350,3.6,,1014.4,,1
2021-08-11,10,31.7,13.9,34,,,20,5.4,,1013.4,,1
2021-08-11,11,33.7,14.2,31,,,110,5.4,,1012.5,,1
2021-08-11,12,35.2,14.5,29,,,150,7.6,,1011.6,,1
2021-08-11,13,37.0,12.5,23,,,190,22.3,,1011.1,,2
2021-08-11,14,38.2,11.3,20,,,230,20.5,,1010.3,,2
2021-08-11,15,38.5,10.8,19,,,250,14.8,,1009.5,,2
2021-08-11,16,38.9,11.9,20,,,240,13.0,,1008.9,,2
2021-08-11,17,38.3,11.4,20,,,260,13.0,,1008.3,,2
2021-08-11,18,37.7,11.6,21,,,260,9.4,,1008.6,,2
2021-08-11,19,38.0,11.2,20,,,270,9.4,,1016.0,,2
2021-08-11,20,30.1,10.6,30,,,120,13.0,,1011.2,,2
2021-08-11,21,31.4,11.7,30,,,150,29.5,,1012.5,,2
2021-08-11,22,29.1,11.2,33,,,130,16.6,,1013.2,,18
2021-08-11,23,27.8,10.1,33,,,10,11.2,,1013.9,,2
2021-08-12,00,26.1,12.2,42,,,60,7.6,,1014.7,,2
2021-08-12,01,26.0,13.2,45,,,30,7.6,,1019.0,,2
2021-08-12,02,24.0,12.9,50,,,40,5.4,,1016.2,,1
2021-08-12,03,22.6,15.0,62,,,350,13.0,,1016.5,,1
