NOMBRE PARQUE;ESPECIE;UNIDADES 2023;;
JARDINES DEL BUEN RETIRO;Aesculus hippocastanum;5826;;
JARDINES DEL BUEN RETIRO;Platanus x hispanica;947;;
JARDINES DEL BUEN RETIRO;Cercis siliquastrum;695;;
JARDINES DEL BUEN RETIRO;Cupressus sempervirens;540;;
JARDINES DEL BUEN RETIRO;Celtis australis;539;;
JARDINES DEL BUEN RETIRO;Gleditsia triacanthos;508;;
JARDINES DEL BUEN RETIRO;Trachycarpus fortunei;484;;
JARDINES DEL BUEN RETIRO;Styphnolobium japonicum;381;;
JARDINES DEL BUEN RETIRO;Pinus pinea;374;;
JARDINES DEL BUEN RETIRO;Ulmus pumila;354;;
JARDINES DEL BUEN RETIRO;Ulmus minor;343;;
JARDINES DEL BUEN RETIRO;Otros;5866;;
;;;;
JARDÍN DE LA QUINTA DE LA FUENTE DEL BERRO;Ligustrum lucidum;298;;
JARDÍN DE LA QUINTA DE LA FUENTE DEL BERRO;Cupressus sempervirens;134;;
JARDÍN DE LA QUINTA DE LA FUENTE DEL BERRO;Aesculus hippocastanum;81;;
JARDÍN DE LA QUINTA DE LA FUENTE DEL BERRO;Prunus cerasifera  subsp. pissardii;58;;
JARDÍN DE LA QUINTA DE LA FUENTE DEL BERRO;Cedrus deodara;55;;
JARDÍN DE LA QUINTA DE LA FUENTE DEL BERRO;Acacia dealbata;47;;
JARDÍN DE LA QUINTA DE LA FUENTE DEL BERRO;Trachycarpus fortunei;33;;
JARDÍN DE LA QUINTA DE LA FUENTE DEL BERRO;Populus alba 'Bolleana';30;;
JARDÍN DE LA QUINTA DE LA FUENTE DEL BERRO;Platanus x hispanica;26;;
JARDÍN DE LA QUINTA DE LA FUENTE DEL BERRO;Celtis australis;25;;
JARDÍN DE LA QUINTA DE LA FUENTE DEL BERRO;Otros;325;;
;;;;
JARDÍN DE 'EL CAPRICHO' DE LA ALAMEDA DE OSUNA;Cercis siliquastrum;745;;
JARDÍN DE 'EL CAPRICHO' DE LA ALAMEDA DE OSUNA;Cupressus sempervirens;346;;
JARDÍN DE 'EL CAPRICHO' DE LA ALAMEDA DE OSUNA;Gleditsia triacanthos;213;;
JARDÍN DE 'EL CAPRICHO' DE LA ALAMEDA DE OSUNA;Pinus pinea;199;;
JARDÍN DE 'EL CAPRICHO' DE LA ALAMEDA DE OSUNA;Fraxinus angustifolia;184;;
JARDÍN DE 'EL CAPRICHO' DE LA ALAMEDA DE OSUNA;Platanus x hispanica;139;;
JARDÍN DE 'EL CAPRICHO' DE LA ALAMEDA DE OSUNA;Quercus robur;138;;
JARDÍN DE 'EL CAPRICHO' DE LA ALAMEDA DE OSUNA;Acer campestre;114;;
JARDÍN DE 'EL CAPRICHO' DE LA ALAMEDA DE OSUNA;Robinia pseudoacacia;104;;
JARDÍN DE 'EL CAPRICHO' DE LA ALAMEDA DE OSUNA;Aesculus hippocastanum;77;;
JARDÍN DE 'EL CAPRICHO' DE LA ALAMEDA DE OSUNA;Otros;1211;;
;;;;
CUÑA VERDE DE O´DONNELL Y  FUENTE CARRANTONA;Pinus halepensis;2864;;
CUÑA VERDE DE O´DONNELL Y  FUENTE CARRANTONA;Pinus pinea;2855;;
CUÑA VERDE DE O´DONNELL Y  FUENTE CARRANTONA;Celtis australis;1260;;
CUÑA VERDE DE O´DONNELL Y  FUENTE CARRANTONA;Quercus ilex;845;;
CUÑA VERDE DE O´DONNELL Y  FUENTE CARRANTONA;Platanus orientalis;634;;
CUÑA VERDE DE O´DONNELL Y  FUENTE CARRANTONA;Cedrus deodara;620;;
CUÑA VERDE DE O´DONNELL Y  FUENTE CARRANTONA;Ulmus pumila;390;;
CUÑA VERDE DE O´DONNELL Y  FUENTE CARRANTONA;Quercus robur;306;;
CUÑA VERDE DE O´DONNELL Y  FUENTE CARRANTONA;Melia azedarach;287;;
CUÑA VERDE DE O´DONNELL Y  FUENTE CARRANTONA;Cupressus sempervirens;253;;
