citation_key_or_author_year,appears_in_text,reference_entry_present,year_match,author_match,doi_or_url_present_if_available,verified_from_locked_literature,issue,action
"Barcelona climate-shelter accessibility, 2025",yes,yes,yes,partial (et al./title only),no,yes (title/journal/year),,COMPLETE_METADATA_before_submission
"Beyond land surface temperature, 2026",yes,yes,yes,partial (et al./title only),no,yes (title/journal/year),,COMPLETE_METADATA_before_submission
"Bröde et al., 2012",yes,yes,yes,yes,no,yes,,OK
"Colaninno et al., 2025",yes,yes,yes,yes,no,yes,,OK
"Cool Routes, 2026",yes,yes,yes,partial (et al./title only),no,yes (title/journal/year),,COMPLETE_METADATA_before_submission
"CoolWalks, 2025",yes,yes,yes,partial (et al./title only),no,yes (title/journal/year),,COMPLETE_METADATA_before_submission
"Extreme heat and urban mobility, 2025",yes,yes,yes,partial (et al./title only),no,yes (title/journal/year),,COMPLETE_METADATA_before_submission
"Gál & Kántor, 2019",yes,yes,yes,yes,no,yes,,OK
"GIS-AHP tourism suitability, 2011",yes,yes,yes,partial (et al./title only),no,yes (title/journal/year),,COMPLETE_METADATA_before_submission
"HCI/TCI inter-comparison, 2016",yes,yes,yes,partial (et al./title only),no,yes (title/journal/year),,COMPLETE_METADATA_before_submission
"Heat risk action planning for tourism, 2026",yes,yes,yes,partial (et al./title only),no,yes (title/journal/year),,COMPLETE_METADATA_before_submission
"Hungarian HCI/TCI, 2025",yes,yes,yes,partial (et al./title only),no,yes (title/journal/year),,COMPLETE_METADATA_before_submission
"Lindberg et al., 2008",yes,yes,yes,yes,no,yes,,OK
"Monte-Carlo UTCI/PET reliability, 2025",yes,yes,yes,partial (et al./title only),no,yes (title/journal/year),,COMPLETE_METADATA_before_submission
"OECD, 2026",yes,yes,yes,yes,no,yes,,OK
"Participatory-GIS under uncertainty, 2025",yes,yes,yes,partial (et al./title only),no,yes (title/journal/year),,COMPLETE_METADATA_before_submission
"Plaza thermal comfort in Madrid and Sevilla, 2022",yes,yes,yes,partial (et al./title only),no,yes (title/journal/year),,COMPLETE_METADATA_before_submission
"Reliability of tourism climate indices, 2016",yes,yes,yes,partial (et al./title only),no,yes (title/journal/year),,COMPLETE_METADATA_before_submission
"Tourism exposure to weather extremes, 2024",yes,yes,yes,partial (et al./title only),no,yes (title/journal/year),,COMPLETE_METADATA_before_submission
"Tourism in a warming climate, 2026",yes,yes,yes,partial (et al./title only),no,yes (title/journal/year),,COMPLETE_METADATA_before_submission
"Tourist demand under climate change, 2025",yes,yes,yes,partial (et al./title only),no,yes (title/journal/year),,COMPLETE_METADATA_before_submission
"UTCI-adjusted pedestrian accessibility, 2026",yes,yes,yes,partial (et al./title only),no,yes (title/journal/year),,COMPLETE_METADATA_before_submission
"WRF-UCM-SOLWEIG mapping, 2024",yes,yes,yes,partial (et al./title only),no,yes (title/journal/year),,COMPLETE_METADATA_before_submission
