role,item,source_publisher,dataset,station_or_product,station_code,lat_wgs84,lon_wgs84,approx_dist_to_OD1,variables,units,study_date,target_hour_local_Europe_Madrid,target_hour_UTC,value_at_hour,validity,timezone_convention,missingness,source_file_or_api,sha256,status,notes
MODEL FORCING,Air temperature,AEMET (via Meteostat ISD/SYNOP relay of station 08221),Barajas hourly synoptic,Madrid-Barajas WMO 08221 / ICAO LEMD / AEMET 3129,08221,40.4675,-3.5556,~13 km NE of corridor (airport),temp_c,degC,2023-08-24,14:00,12:00,37.0,observed,hour_utc column is UTC; LT=UTC+2 (CEST),none at target hours (24/24 h present),data/raw/aemet_barajas_08221_hourly_202308.csv,ffd1ed05d593599c,ACCEPT WITH UNCERTAINTY,Airport siting not city-core; applied identically to both routes so differenced out within-pair
MODEL FORCING,Air temperature,AEMET (Meteostat 08221),Barajas hourly synoptic,Madrid-Barajas 08221,08221,40.4675,-3.5556,~13 km NE,temp_c,degC,2023-08-24,17:00,15:00,40.0,observed,UTC->LT+2,none,data/raw/aemet_barajas_08221_hourly_202308.csv,ffd1ed05d593599c,ACCEPT WITH UNCERTAINTY,Peak-heat target hour
MODEL FORCING,Relative humidity,AEMET (Meteostat 08221),Barajas hourly synoptic,Madrid-Barajas 08221,08221,40.4675,-3.5556,~13 km NE,rhum_pct,percent,2023-08-24,14:00,12:00,17,observed,UTC->LT+2,none,data/raw/aemet_barajas_08221_hourly_202308.csv,ffd1ed05d593599c,ACCEPT WITH UNCERTAINTY,
MODEL FORCING,Relative humidity,AEMET (Meteostat 08221),Barajas hourly synoptic,Madrid-Barajas 08221,08221,40.4675,-3.5556,~13 km NE,rhum_pct,percent,2023-08-24,17:00,15:00,12,observed,UTC->LT+2,none,data/raw/aemet_barajas_08221_hourly_202308.csv,ffd1ed05d593599c,ACCEPT WITH UNCERTAINTY,
MODEL FORCING,Wind speed,AEMET (Meteostat 08221),Barajas hourly synoptic,Madrid-Barajas 08221,08221,40.4675,-3.5556,~13 km NE,wspd_kmh,km/h,2023-08-24,14:00,12:00,11.2,observed,UTC->LT+2,none,data/raw/aemet_barajas_08221_hourly_202308.csv,ffd1ed05d593599c,ACCEPT WITH UNCERTAINTY,=3.11 m/s; single non-local point applied uniformly (see wind decision 2F)
MODEL FORCING,Wind speed,AEMET (Meteostat 08221),Barajas hourly synoptic,Madrid-Barajas 08221,08221,40.4675,-3.5556,~13 km NE,wspd_kmh,km/h,2023-08-24,17:00,15:00,6.0,observed,UTC->LT+2,none,data/raw/aemet_barajas_08221_hourly_202308.csv,ffd1ed05d593599c,ACCEPT WITH UNCERTAINTY,=1.67 m/s
MODEL FORCING,Wind direction,AEMET (Meteostat 08221),Barajas hourly synoptic,Madrid-Barajas 08221,08221,40.4675,-3.5556,~13 km NE,wdir_deg,degrees,2023-08-24,14:00/17:00,12:00/15:00,180 / 240,observed,UTC->LT+2,none,data/raw/aemet_barajas_08221_hourly_202308.csv,ffd1ed05d593599c,ACCEPT WITH UNCERTAINTY,
MODEL FORCING,Station pressure,AEMET (Meteostat 08221),Barajas hourly synoptic,Madrid-Barajas 08221,08221,40.4675,-3.5556,~13 km NE,pres_hpa,hPa,2023-08-24,14:00/17:00,12:00/15:00,1011.0 / 1015.0,observed,UTC->LT+2,none,data/raw/aemet_barajas_08221_hourly_202308.csv,ffd1ed05d593599c,ACCEPT WITH UNCERTAINTY,Minor synoptic step 12->13 UTC
MODEL FORCING,Sky condition (weather code),AEMET/Meteostat (coco),Barajas hourly synoptic,Madrid-Barajas 08221,08221,40.4675,-3.5556,~13 km NE,coco,code,2023-08-24,all daytime,08-18 UTC,1 (Clear),observed,UTC->LT+2,none,data/raw/aemet_barajas_08221_hourly_202308.csv,ffd1ed05d593599c,ACCEPT,R3 clear-sky satisfied; licenses pvlib clear-sky GHI
MODEL FORCING,Solar GHI/direct/diffuse,pvlib Ineichen clear-sky (project-computed),clear-sky model,real solar geometry + Linke turbidity,n/a,n/a,n/a,whole grid (modeled),GHI/DNI/DHI,W/m2,2023-08-24,14:00/17:00,12:00/15:00,to be computed at freeze-execution (clear-sky),modeled,solar time from Europe/Madrid,n/a,src/build_met_forcing.py (pvlib) — recompute for 2023-08-24,n/a,ACCEPT WITH UNCERTAINTY,No corridor-local pyranometer; clear-sky valid only for coco=1 hours (satisfied); applied identically to both routes
INDEPENDENT URBAN CHECK,Air temperature,Ayuntamiento de Madrid municipal network,Datos meteorologicos horarios desde 2019 (dataset 300352),Escuelas Aguirre (Calle de Alcala/O'Donnell),8 / 28079008,40.4215,-3.6824,~0.5 km ENE of A14 (corridor-adjacent),MAGNITUD 83,degC,2023-08-24,14:00 (H14 13-14h) / (H15 14-15h),12:00/13:00,35.3 (H14) / 37.1 (H15),V (valid),H01..H24 local official time (CEST=UTC+2); Hnn = hour ending nn:00,all target hours flagged V,data/raw/madrid_meteo_municipal/meteo_municipal_202308.csv,e3f933f8d1b00b77,ACCEPT WITH UNCERTAINTY,Independent of Barajas forcing; tracks Barajas within ~0-2 degC; basis for E-P1
INDEPENDENT URBAN CHECK,Air temperature,Ayuntamiento de Madrid municipal network,Datos horarios desde 2019 (300352),Escuelas Aguirre,8 / 28079008,40.4215,-3.6824,~0.5 km ENE,MAGNITUD 83,degC,2023-08-24,17:00 (H17) / (H18),15:00/16:00,39.8 (H17) / 39.9 (H18),V,local CEST; Hnn hour-ending,valid,data/raw/madrid_meteo_municipal/meteo_municipal_202308.csv,e3f933f8d1b00b77,ACCEPT WITH UNCERTAINTY,Matches Barajas 40.0 within 0.1-0.2 degC
INDEPENDENT URBAN CHECK,Relative humidity,Ayuntamiento de Madrid municipal network,Datos horarios desde 2019 (300352),Escuelas Aguirre,8 / 28079008,40.4215,-3.6824,~0.5 km ENE,MAGNITUD 86,percent,2023-08-24,14:00 (H14/H15),12:00/13:00,23 (H14) / 20 (H15),V,local CEST; Hnn hour-ending,valid,data/raw/madrid_meteo_municipal/meteo_municipal_202308.csv,e3f933f8d1b00b77,ACCEPT WITH UNCERTAINTY,vs Barajas 17%
INDEPENDENT URBAN CHECK,Relative humidity,Ayuntamiento de Madrid municipal network,Datos horarios desde 2019 (300352),Escuelas Aguirre,8 / 28079008,40.4215,-3.6824,~0.5 km ENE,MAGNITUD 86,percent,2023-08-24,17:00 (H17/H18),15:00/16:00,16 (H17) / 15 (H18),V,local CEST; Hnn hour-ending,valid,data/raw/madrid_meteo_municipal/meteo_municipal_202308.csv,e3f933f8d1b00b77,ACCEPT WITH UNCERTAINTY,vs Barajas 12%
INDEPENDENT URBAN CHECK,Wind / solar radiation,Ayuntamiento de Madrid municipal network,Datos horarios desde 2019 (300352),Escuelas Aguirre,8 / 28079008,40.4215,-3.6824,~0.5 km ENE,none (not measured here),n/a,2023-08-24,n/a,n/a,NOT AVAILABLE at this station,n/a,n/a,Escuelas Aguirre reports Ta/RH only (mag 83/86); NOT wind/radiation,data/raw/madrid_meteo_municipal/meteo_municipal_202308.csv,e3f933f8d1b00b77,LIMITATION,Corridor-local wind/radiation remain unobserved; only 6 peripheral full-met stations measure them (see 2F)
REGIONAL CONTEXT,Daily max / episode designation,AEMET,Avance climatologico mensual agosto 2023 (Comunidad de Madrid),Retiro official + episode text,3195,40.4119,-3.6783,~1 km E (Retiro),daily Tmax; episode dates,degC; dates,2023-08 (episode 20-25),n/a (daily),n/a,"episode ""calor extremo"" 20-25 Aug; Retiro 40.0 on 21 Aug (locked-day)",official,daily,per-day official Retiro figures beyond 21 Aug not extracted,data/raw/aemet_official_pdfs/AEMET_ACM_MAD_202308_avance_climatologico.pdf,n/a,ACCEPT (context only),R1 basis for episode; NOT pedestrian validation; NOT an hourly urban check
REGIONAL CONTEXT,Warning thresholds,AEMET Plan Meteoalerta,METEOALERTA ANX1 thresholds,zone 722802 Metropolitana y Henares,722802,n/a,n/a,zone,daily Tmax thresholds,degC,static,n/a,n/a,amarillo 36 / naranja 39 / rojo 42,official,n/a,n/a,data/raw/aemet_official_pdfs/AEMET_METEOALERTA_ANX1_Umbrales_y_niveles_de_aviso.pdf,n/a,ACCEPT,24 Aug Barajas 40.0 degC exceeds naranja (39); R1 satisfied
