route,seg_index,lat_a,lon_a,lat_b,lon_b,seg_len_m,start_node,end_node,classification,notes
A,0,40.404557,-3.688683,40.403994,-3.689463,91.0,OD,31009976,VERIFIED WITH UNCERTAINTY,O-D endpoint access snap (station concourse / monument island)
A,1,40.403994,-3.689463,40.403972,-3.689463,2.5,31009976,13983688068,VERIFIED,continuous mapped footway/pedestrian way
A,2,40.403972,-3.689463,40.403956,-3.689465,1.7,13983688068,13983688069,VERIFIED,continuous mapped footway/pedestrian way
A,3,40.403956,-3.689465,40.403944,-3.689471,1.5,13983688069,13983688066,VERIFIED,continuous mapped footway/pedestrian way
A,4,40.403944,-3.689471,40.403933,-3.689483,1.6,13983688066,13983688065,VERIFIED,continuous mapped footway/pedestrian way
A,5,40.403933,-3.689483,40.403927,-3.689496,1.3,13983688065,13983688064,VERIFIED,continuous mapped footway/pedestrian way
A,6,40.403927,-3.689496,40.403923,-3.689513,1.5,13983688064,13983688063,VERIFIED,continuous mapped footway/pedestrian way
A,7,40.403923,-3.689513,40.403922,-3.689528,1.2,13983688063,13983688062,VERIFIED,continuous mapped footway/pedestrian way
A,8,40.403922,-3.689528,40.403923,-3.689548,1.7,13983688062,4237299411,VERIFIED,"controlled crossing at node 4237299411 (crossing=uncontrolled, markings=zebra, signals=None)"
A,9,40.403923,-3.689548,40.403955,-3.689574,4.2,4237299411,13983688060,VERIFIED,continuous mapped footway/pedestrian way
A,10,40.403955,-3.689574,40.403981,-3.6896,3.7,13983688060,14028809938,VERIFIED,continuous mapped footway/pedestrian way
A,11,40.403981,-3.6896,40.404026,-3.689616,5.2,14028809938,14028809939,VERIFIED,continuous mapped footway/pedestrian way
A,12,40.404026,-3.689616,40.404782,-3.690469,110.8,14028809939,14028809933,VERIFIED WITH UNCERTAINTY,"open plaza/axis desire-line: 111 m straight OSM edge, exact walked line approximate"
A,13,40.404782,-3.690469,40.404814,-3.690421,5.4,14028809933,6177136010,VERIFIED,continuous mapped footway/pedestrian way
A,14,40.404814,-3.690421,40.404837,-3.69038,4.3,6177136010,6177136007,VERIFIED,"controlled crossing at node 6177136007 (crossing=traffic_signals, markings=dots, signals=None)"
A,15,40.404837,-3.69038,40.404854,-3.690353,3.0,6177136007,4471097877,VERIFIED,continuous mapped footway/pedestrian way
A,16,40.404854,-3.690353,40.404874,-3.690321,3.5,4471097877,14028874883,VERIFIED,continuous mapped footway/pedestrian way
A,17,40.404874,-3.690321,40.405554,-3.691065,98.3,14028874883,4471097876,VERIFIED WITH UNCERTAINTY,"open plaza/axis desire-line: 98 m straight OSM edge, exact walked line approximate"
A,18,40.405554,-3.691065,40.405619,-3.691133,9.3,4471097876,8540648584,VERIFIED,continuous mapped footway/pedestrian way
A,19,40.405619,-3.691133,40.406144,-3.691685,74.7,8540648584,6177135999,VERIFIED WITH UNCERTAINTY,"open plaza/axis desire-line: 75 m straight OSM edge, exact walked line approximate"
A,20,40.406144,-3.691685,40.406201,-3.691747,8.2,6177135999,4471097875,VERIFIED,continuous mapped footway/pedestrian way
A,21,40.406201,-3.691747,40.406249,-3.691798,6.9,4471097875,1248177375,VERIFIED,"controlled crossing at node 1248177375 (crossing=uncontrolled, markings=zebra, signals=None)"
A,22,40.406249,-3.691798,40.406275,-3.691828,3.9,1248177375,10905796446,VERIFIED,continuous mapped footway/pedestrian way
A,23,40.406275,-3.691828,40.406309,-3.69187,5.2,10905796446,4471098595,VERIFIED,continuous mapped footway/pedestrian way
A,24,40.406309,-3.69187,40.406982,-3.692607,97.4,4471098595,4471098596,VERIFIED WITH UNCERTAINTY,"open plaza/axis desire-line: 97 m straight OSM edge, exact walked line approximate"
A,25,40.406982,-3.692607,40.40723,-3.692866,35.3,4471098596,612920893,VERIFIED,continuous mapped footway/pedestrian way
A,26,40.40723,-3.692866,40.407318,-3.692854,9.8,612920893,612920894,VERIFIED,continuous mapped footway/pedestrian way
A,27,40.407318,-3.692854,40.407445,-3.692876,14.2,612920894,612920895,VERIFIED,continuous mapped footway/pedestrian way
A,28,40.407445,-3.692876,40.407658,-3.692698,28.1,612920895,674161562,VERIFIED,continuous mapped footway/pedestrian way
A,29,40.407658,-3.692698,40.407865,-3.69249,29.0,674161562,612920830,VERIFIED,continuous mapped footway/pedestrian way
A,30,40.407865,-3.69249,40.407923,-3.692393,10.4,612920830,612920831,VERIFIED,continuous mapped footway/pedestrian way
A,31,40.407923,-3.692393,40.408134,-3.692069,36.1,612920831,1416248926,VERIFIED,continuous mapped footway/pedestrian way
A,32,40.408134,-3.692069,40.408199,-3.691876,17.8,1416248926,612920832,VERIFIED,continuous mapped footway/pedestrian way
A,33,40.408199,-3.691876,40.408216,-3.691657,18.6,612920832,1416248933,VERIFIED,continuous mapped footway/pedestrian way
A,34,40.408216,-3.691657,40.408192,-3.691558,8.8,1416248933,5242464896,VERIFIED,continuous mapped footway/pedestrian way
A,35,40.408192,-3.691558,40.408248,-3.691541,6.4,5242464896,6407689921,VERIFIED,continuous mapped footway/pedestrian way
A,36,40.408248,-3.691541,40.408343,-3.691512,10.8,6407689921,26493352,VERIFIED,"controlled crossing at node 26493352 (crossing=traffic_signals, markings=dots, signals=None)"
A,37,40.408343,-3.691512,40.408426,-3.69149,9.5,26493352,9687726563,VERIFIED,continuous mapped footway/pedestrian way
A,38,40.408426,-3.69149,40.408562,-3.691453,15.4,9687726563,1416248939,VERIFIED,continuous mapped footway/pedestrian way
A,39,40.408562,-3.691453,40.4087,-3.691386,16.3,1416248939,9687726562,VERIFIED,continuous mapped footway/pedestrian way
A,40,40.4087,-3.691386,40.408738,-3.691367,4.6,9687726562,318314063,VERIFIED,"controlled crossing at node 318314063 (crossing=traffic_signals, markings=dots, signals=None)"
A,41,40.408738,-3.691367,40.40882,-3.691284,11.5,318314063,13096456333,VERIFIED,continuous mapped footway/pedestrian way
A,42,40.40882,-3.691284,40.408865,-3.69123,6.8,13096456333,1416248951,VERIFIED,continuous mapped footway/pedestrian way
A,43,40.408865,-3.69123,40.409017,-3.691426,23.7,1416248951,4504427072,VERIFIED,continuous mapped footway/pedestrian way
A,44,40.409017,-3.691426,40.409161,-3.691612,22.5,4504427072,11283957276,VERIFIED,continuous mapped footway/pedestrian way
A,45,40.409161,-3.691612,40.409201,-3.691663,6.2,11283957276,1416248962,VERIFIED,continuous mapped footway/pedestrian way
A,46,40.409201,-3.691663,40.40958,-3.691893,46.4,1416248962,612920834,VERIFIED,continuous mapped footway/pedestrian way
A,47,40.40958,-3.691893,40.409823,-3.692058,30.5,612920834,2873438706,VERIFIED,continuous mapped footway/pedestrian way
A,48,40.409823,-3.692058,40.409812,-3.692124,5.7,2873438706,13202641810,VERIFIED,continuous mapped footway/pedestrian way
A,49,40.409812,-3.692124,40.409793,-3.692228,9.0,13202641810,318314092,VERIFIED,"controlled crossing at node 318314092 (crossing=traffic_signals, markings=dots, signals=None)"
A,50,40.409793,-3.692228,40.409951,-3.692273,18.0,318314092,8433060767,VERIFIED,continuous mapped footway/pedestrian way
A,51,40.409951,-3.692273,40.410271,-3.692365,36.4,8433060767,1416249009,VERIFIED,continuous mapped footway/pedestrian way
A,52,40.410271,-3.692365,40.410907,-3.692518,72.0,1416249009,5418583612,VERIFIED WITH UNCERTAINTY,"open plaza/axis desire-line: 72 m straight OSM edge, exact walked line approximate; controlled crossing at node 5418583612 (crossing=traffic_signals, markings=dots, signals=None)"
A,53,40.410907,-3.692518,40.411622,-3.692688,80.8,5418583612,1416249021,VERIFIED WITH UNCERTAINTY,"open plaza/axis desire-line: 81 m straight OSM edge, exact walked line approximate"
A,54,40.411622,-3.692688,40.412253,-3.692815,71.0,1416249021,1416249036,VERIFIED WITH UNCERTAINTY,"open plaza/axis desire-line: 71 m straight OSM edge, exact walked line approximate; controlled crossing at node 1416249036 (crossing=traffic_signals, markings=dots, signals=None)"
A,55,40.412253,-3.692815,40.412502,-3.69287,28.0,1416249036,420073191,VERIFIED,continuous mapped footway/pedestrian way
A,56,40.412502,-3.69287,40.41277,-3.692919,30.1,420073191,3068290684,VERIFIED,continuous mapped footway/pedestrian way
A,57,40.41277,-3.692919,40.412811,-3.692927,4.6,3068290684,317743498,VERIFIED,"controlled crossing at node 317743498 (crossing=traffic_signals, markings=None, signals=None)"
A,58,40.412811,-3.692927,40.412977,-3.692969,18.8,317743498,8433060764,VERIFIED,continuous mapped footway/pedestrian way
A,59,40.412977,-3.692969,40.413192,-3.693022,24.3,8433060764,960871271,VERIFIED,continuous mapped footway/pedestrian way
A,60,40.413192,-3.693022,40.413797,-3.693166,68.4,960871271,5418583616,VERIFIED WITH UNCERTAINTY,"open plaza/axis desire-line: 68 m straight OSM edge, exact walked line approximate"
A,61,40.413797,-3.693166,40.414549,-3.693344,85.0,5418583616,5418583615,VERIFIED WITH UNCERTAINTY,"open plaza/axis desire-line: 85 m straight OSM edge, exact walked line approximate"
A,62,40.414549,-3.693344,40.414651,-3.693369,11.5,5418583615,13633748682,VERIFIED,continuous mapped footway/pedestrian way
A,63,40.414651,-3.693369,40.414689,-3.693379,4.2,13633748682,1416249318,VERIFIED,"controlled crossing at node 1416249318 (crossing=traffic_signals, markings=dots, signals=None)"
A,64,40.414689,-3.693379,40.414838,-3.693411,16.8,1416249318,317743420,VERIFIED,continuous mapped footway/pedestrian way
A,65,40.414838,-3.693411,40.414993,-3.693446,17.5,317743420,1416249467,VERIFIED,continuous mapped footway/pedestrian way
A,66,40.414993,-3.693446,40.415066,-3.693464,8.2,1416249467,1416249490,VERIFIED,continuous mapped footway/pedestrian way
A,67,40.415066,-3.693464,40.415114,-3.693473,5.4,1416249490,8090494131,VERIFIED,continuous mapped footway/pedestrian way
A,68,40.415114,-3.693473,40.415219,-3.693498,11.8,8090494131,1209330285,VERIFIED,continuous mapped footway/pedestrian way
A,69,40.415219,-3.693498,40.415361,-3.69353,16.0,1209330285,1209330270,VERIFIED,continuous mapped footway/pedestrian way
A,70,40.415361,-3.69353,40.415421,-3.693545,6.9,1209330270,3068290685,VERIFIED,continuous mapped footway/pedestrian way
A,71,40.415421,-3.693545,40.415641,-3.693606,25.0,3068290685,2513458296,VERIFIED,"controlled crossing at node 2513458296 (crossing=no, markings=None, signals=None)"
A,72,40.415641,-3.693606,40.415718,-3.693622,8.7,2513458296,325076854,VERIFIED,continuous mapped footway/pedestrian way
A,73,40.415718,-3.693622,40.415919,-3.693684,22.9,325076854,13620375999,VERIFIED,continuous mapped footway/pedestrian way
A,74,40.415919,-3.693684,40.415962,-3.69369,4.8,13620375999,26486569,VERIFIED,"controlled crossing at node 26486569 (crossing=traffic_signals, markings=dots, signals=None)"
A,75,40.415962,-3.69369,40.415993,-3.69369,3.5,26486569,13620375998,VERIFIED,continuous mapped footway/pedestrian way
A,76,40.415993,-3.69369,40.416091,-3.693664,11.1,13620375998,12339438928,VERIFIED,continuous mapped footway/pedestrian way
A,77,40.416091,-3.693664,40.4162,-3.69363,12.4,12339438928,1416249587,VERIFIED,continuous mapped footway/pedestrian way
A,78,40.4162,-3.69363,40.41697,-3.693452,86.9,1416249587,325076749,VERIFIED WITH UNCERTAINTY,"open plaza/axis desire-line: 87 m straight OSM edge, exact walked line approximate"
A,79,40.41697,-3.693452,40.418425,-3.693159,163.7,325076749,25891992,VERIFIED WITH UNCERTAINTY,"open plaza/axis desire-line: 164 m straight OSM edge, exact walked line approximate"
A,80,40.418425,-3.693159,40.418585,-3.693112,18.2,25891992,8433060765,VERIFIED,continuous mapped footway/pedestrian way
A,81,40.418585,-3.693112,40.418632,-3.693099,5.4,8433060765,12802978742,VERIFIED,continuous mapped footway/pedestrian way
A,82,40.418632,-3.693099,40.418647,-3.693095,1.7,12802978742,13620318680,VERIFIED,continuous mapped footway/pedestrian way
A,83,40.418647,-3.693095,40.418694,-3.693082,5.3,13620318680,1278838977,VERIFIED,"controlled crossing at node 1278838977 (crossing=traffic_signals, markings=dots, signals=None)"
A,84,40.418694,-3.693082,40.418689,-3.693021,5.2,1278838977,12802978744,VERIFIED,continuous mapped footway/pedestrian way
A,85,40.418689,-3.693021,40.418681,-3.692924,8.2,12802978744,1522690040,VERIFIED,continuous mapped footway/pedestrian way
A,86,40.418681,-3.692924,40.418789,-3.692819,14.9,1522690040,1522690045,VERIFIED,continuous mapped footway/pedestrian way
A,87,40.418789,-3.692819,40.418794,-3.692766,4.6,1522690045,9366879107,VERIFIED,continuous mapped footway/pedestrian way
A,88,40.418794,-3.692766,40.418792,-3.692706,5.1,9366879107,25892120,VERIFIED,"controlled crossing at node 25892120 (crossing=traffic_signals, markings=dots, signals=None)"
A,89,40.418792,-3.692706,40.418789,-3.692651,4.7,25892120,3949527081,VERIFIED,continuous mapped footway/pedestrian way
A,90,40.418789,-3.692651,40.41895,-3.69263,18.0,3949527081,13620375983,VERIFIED,continuous mapped footway/pedestrian way
A,91,40.41895,-3.69263,40.419106,-3.692599,17.5,13620375983,3949526895,VERIFIED,continuous mapped footway/pedestrian way
A,92,40.419106,-3.692599,40.419153,-3.692576,5.6,3949526895,3949526896,VERIFIED,continuous mapped footway/pedestrian way
A,93,40.419153,-3.692576,40.419196,-3.692543,5.5,3949526896,11974100205,VERIFIED,continuous mapped footway/pedestrian way
A,94,40.419196,-3.692543,40.419153,-3.692576,5.5,11974100205,3949526896,VERIFIED,continuous mapped footway/pedestrian way
A,95,40.419153,-3.692576,40.419106,-3.692599,5.6,3949526896,3949526895,VERIFIED,continuous mapped footway/pedestrian way
A,96,40.419106,-3.692599,40.41895,-3.69263,17.5,3949526895,13620375983,VERIFIED,continuous mapped footway/pedestrian way
A,97,40.41895,-3.69263,40.418789,-3.692651,18.0,13620375983,3949527081,VERIFIED,continuous mapped footway/pedestrian way
A,98,40.418789,-3.692651,40.418792,-3.692706,4.7,3949527081,25892120,VERIFIED,"controlled crossing at node 25892120 (crossing=traffic_signals, markings=dots, signals=None)"
A,99,40.418792,-3.692706,40.418827,-3.692701,3.9,25892120,13620375985,VERIFIED,continuous mapped footway/pedestrian way
A,100,40.418827,-3.692701,40.418937,-3.692683,12.4,13620375985,1278839116,VERIFIED,continuous mapped footway/pedestrian way
A,101,40.418937,-3.692683,40.419282,-3.692593,39.0,1278839116,435728822,VERIFIED,continuous mapped footway/pedestrian way
A,102,40.419282,-3.692593,40.419503,-3.692505,25.7,435728822,25892096,VERIFIED,"controlled crossing at node 25892096 (crossing=no, markings=None, signals=None)"
A,103,40.419503,-3.692505,40.419559,-3.692486,6.4,25892096,435729044,VERIFIED,continuous mapped footway/pedestrian way
A,104,40.419559,-3.692486,40.419645,-3.692476,9.6,435729044,3280495560,VERIFIED,continuous mapped footway/pedestrian way
A,105,40.419645,-3.692476,40.419765,-3.692447,13.6,3280495560,13620318676,VERIFIED,continuous mapped footway/pedestrian way
A,106,40.419765,-3.692447,40.419813,-3.692425,5.6,13620318676,25892135,VERIFIED,"controlled crossing at node 25892135 (crossing=traffic_signals, markings=None, signals=None)"
A,107,40.419813,-3.692425,40.420285,-3.692213,55.5,25892135,2584446944,VERIFIED WITH UNCERTAINTY,"open plaza/axis desire-line: 55 m straight OSM edge, exact walked line approximate"
A,108,40.420285,-3.692213,40.420433,-3.692152,17.3,2584446944,12601981607,VERIFIED,continuous mapped footway/pedestrian way
A,109,40.420433,-3.692152,40.420482,-3.692133,5.7,12601981607,25901826,VERIFIED,continuous mapped footway/pedestrian way
A,110,40.420482,-3.692133,40.420463,-3.691988,12.5,25901826,13620318673,VERIFIED,"controlled crossing at node 13620318673 (crossing=uncontrolled, markings=zebra, signals=None)"
A,111,40.420463,-3.691988,40.420312,-3.69084,98.6,13620318673,4578485127,VERIFIED WITH UNCERTAINTY,"open plaza/axis desire-line: 99 m straight OSM edge, exact walked line approximate; controlled crossing at node 4578485127 (crossing=uncontrolled, markings=zebra, signals=None)"
A,112,40.420312,-3.69084,40.420304,-3.690756,7.2,4578485127,25901853,VERIFIED,continuous mapped footway/pedestrian way
A,113,40.420304,-3.690756,40.420364,-3.690714,7.5,25901853,13629401405,VERIFIED,continuous mapped footway/pedestrian way
A,114,40.420364,-3.690714,40.420627,-3.690588,31.1,13629401405,13629401406,VERIFIED,"controlled crossing at node 13629401406 (crossing=uncontrolled, markings=zebra, signals=None)"
A,115,40.420627,-3.690588,40.42065,-3.690577,2.8,13629401406,13629401408,VERIFIED,continuous mapped footway/pedestrian way
A,116,40.42065,-3.690577,40.420686,-3.690551,4.5,13629401408,25901851,VERIFIED,continuous mapped footway/pedestrian way
A,117,40.420686,-3.690551,40.420577,-3.690285,25.5,25901851,13629401407,VERIFIED,"controlled crossing at node 13629401407 (crossing=uncontrolled, markings=zebra, signals=None)"
A,118,40.420577,-3.690285,40.420541,-3.690191,8.9,13629401407,25901898,VERIFIED,continuous mapped footway/pedestrian way
A,119,40.420541,-3.690191,40.420466,-3.689999,18.3,25901898,9684664017,VERIFIED,continuous mapped footway/pedestrian way
A,120,40.420466,-3.689999,40.420268,-3.689487,48.5,9684664017,26485809,VERIFIED,"controlled crossing at node 26485809 (crossing=uncontrolled, markings=zebra, signals=None)"
A,121,40.420268,-3.689487,40.420252,-3.689449,3.7,26485809,4140937593,VERIFIED,"controlled crossing at node 4140937593 (crossing=uncontrolled, markings=zebra, signals=None)"
A,122,40.420252,-3.689449,40.420212,-3.689348,9.7,4140937593,13930993134,VERIFIED,continuous mapped footway/pedestrian way
