perturbation,departure,speed,M2_A,M2_B,M2_A_minus_B,M3max_A,M3max_B,vstrongext_min_A,vstrongext_min_B,M1_A,M1_B
EP0_baseline,14:00,1.1,40.345,40.387,-0.042,43.63,43.17,33.83,32.51,40.27,35.843
EP0_baseline,17:00,1.1,42.246,42.613,-0.367,45.53,45.48,40.27,35.84,40.27,35.843
EP1b_forcing_ea,14:00,1.1,40.69,40.732,-0.042,43.97,43.53,35.35,33.49,40.27,35.843
EP1b_forcing_ea,17:00,1.1,42.498,42.87,-0.372,45.86,45.8,40.27,35.84,40.27,35.843
EP2b_canopy_pnoa,14:00,1.1,39.348,39.122,0.226,43.63,43.17,28.45,24.18,40.27,35.843
EP2b_canopy_pnoa,17:00,1.1,41.595,41.662,-0.067,45.06,45.46,40.27,35.84,40.27,35.843
EP2c_canopy_treeinv,14:00,1.1,41.778,41.803,-0.025,43.65,43.19,40.27,35.16,40.27,35.843
EP2c_canopy_treeinv,17:00,1.1,43.319,43.5,-0.181,45.53,45.48,40.27,35.84,40.27,35.843
EP2d_canopy_tcd,14:00,1.1,40.62,40.711,-0.091,43.65,43.17,34.06,32.74,40.27,35.843
EP2d_canopy_tcd,17:00,1.1,42.473,42.836,-0.363,45.58,45.58,40.27,35.84,40.27,35.843
EP4b_building_pnoa,14:00,1.1,40.35,40.368,-0.018,43.77,43.16,33.83,32.36,40.27,35.843
EP4b_building_pnoa,17:00,1.1,42.302,42.597,-0.295,45.96,45.96,40.27,35.84,40.27,35.843
EP5_side_+12m,14:00,1.1,40.592,41.86,-1.268,43.53,43.26,31.25,35.47,40.27,35.843
EP5_side_+12m,17:00,1.1,42.193,42.475,-0.282,45.58,45.73,40.27,35.84,40.27,35.843
EP5_side_-12m,14:00,1.1,39.854,39.706,0.148,43.28,43.07,27.92,22.74,40.27,35.843
EP5_side_-12m,17:00,1.1,42.147,41.781,0.366,45.94,45.94,40.27,35.84,40.27,35.843
EP6_speed_1.4,14:00,1.4,40.183,40.255,-0.072,43.63,42.82,25.51,25.13,31.641,28.163
EP6_speed_1.4,17:00,1.4,42.345,42.73,-0.385,45.53,45.72,31.64,28.16,31.641,28.163
