asset_id,name,timestamp,robustness_phase2_1,confidence_phase2_2,envelope_low,envelope_high,envelope_width,demonstrated_sensitivity_c,confidence_changed_vs_phase2_1,uncertainty_reason
A14,Puerta de Alcalá,12:00,ROBUST,ROBUST,36.2,36.8,0.6,0.6,False,"envelope 36.2-36.8 C stays 4.2 C clear of the nearest decision threshold, farther than the row's demonstrated sensitivity (0.6 C); no realization flips the decision"
A15,Fuente de Cibeles,12:00,ROBUST,ROBUST,37.7,40.0,2.3,2.3,False,"envelope 37.7-40.0 C stays 5.7 C clear of the nearest decision threshold, farther than the row's demonstrated sensitivity (2.3 C); no realization flips the decision"
A16,Fuente de Neptuno,12:00,ROBUST,ROBUST,38.9,40.7,1.8,1.8,False,"envelope 38.9-40.7 C stays 5.3 C clear of the nearest decision threshold, farther than the row's demonstrated sensitivity (1.8 C); no realization flips the decision"
A17,Estatua de Goya,12:00,BOUNDARY,ROBUST,33.9,33.9,0.0,0.0,True,"envelope 33.9-33.9 C stays 1.9 C clear of the nearest decision threshold, farther than the row's demonstrated sensitivity (0.0 C); no realization flips the decision"
A18,Palacio de Cibeles - Ayuntamiento de Madrid,12:00,ROBUST,ROBUST,38.1,39.1,1.0,1.0,False,"envelope 38.1-39.1 C stays 6.1 C clear of the nearest decision threshold, farther than the row's demonstrated sensitivity (1.0 C); no realization flips the decision"
A19,Real Observatorio de Madrid,12:00,BOUNDARY,ROBUST,33.6,33.8,0.2,0.2,True,"envelope 33.6-33.8 C stays 1.6 C clear of the nearest decision threshold, farther than the row's demonstrated sensitivity (0.2 C); no realization flips the decision"
A20,Parque del Retiro,12:00,BOUNDARY,ROBUST,33.5,33.7,0.2,0.2,True,"envelope 33.5-33.7 C stays 1.5 C clear of the nearest decision threshold, farther than the row's demonstrated sensitivity (0.2 C); no realization flips the decision"
A21,Real Jardín Botánico de Madrid,12:00,BOUNDARY,ROBUST,32.4,32.6,0.2,0.2,True,"envelope 32.4-32.6 C stays 0.4 C clear of the nearest decision threshold, farther than the row's demonstrated sensitivity (0.2 C); no realization flips the decision"
A22,Palacio de Cristal,12:00,ROBUST,ROBUST,36.3,36.8,0.5,0.5,False,"envelope 36.3-36.8 C stays 4.3 C clear of the nearest decision threshold, farther than the row's demonstrated sensitivity (0.5 C); no realization flips the decision"
A23,Jardines de Cecilio Rodríguez,12:00,BOUNDARY,ROBUST,38.1,39.4,1.3,1.3,True,"envelope 38.1-39.4 C stays 6.1 C clear of the nearest decision threshold, farther than the row's demonstrated sensitivity (1.3 C); no realization flips the decision"
A24,La Rosaleda,12:00,BOUNDARY,ROBUST,39.0,40.4,1.4,1.4,True,"envelope 39.0-40.4 C stays 5.6 C clear of the nearest decision threshold, farther than the row's demonstrated sensitivity (1.4 C); no realization flips the decision"
A25,Jardín del Parterre,12:00,BOUNDARY,ROBUST,38.9,40.3,1.4,1.4,True,"envelope 38.9-40.3 C stays 5.7 C clear of the nearest decision threshold, farther than the row's demonstrated sensitivity (1.4 C); no realization flips the decision"
A26,Monumento a Alfonso XII,12:00,ROBUST,ROBUST,36.7,37.5,0.8,0.8,False,"envelope 36.7-37.5 C stays 4.7 C clear of the nearest decision threshold, farther than the row's demonstrated sensitivity (0.8 C); no realization flips the decision"
A27,Jardines del Arquitecto Herrero Palacios,12:00,BOUNDARY,ROBUST,35.8,37.6,1.8,1.8,True,"envelope 35.8-37.6 C stays 3.8 C clear of the nearest decision threshold, farther than the row's demonstrated sensitivity (1.8 C); no realization flips the decision"
