metric,scenario,timestamp,value
ghi_wm2,BASELINE,12:00,722.8
ghi_wm2,REAL_SATELLITE,12:00,651.0
ghi_wm2,SENS_A_minus10pct,12:00,650.5
ghi_wm2,SENS_B_minus20pct,12:00,578.2
ghi_wm2,BASELINE,15:00,861.9
ghi_wm2,REAL_SATELLITE,15:00,868.0
ghi_wm2,SENS_A_minus10pct,15:00,775.7
ghi_wm2,SENS_B_minus20pct,15:00,689.5
ghi_wm2,BASELINE,18:00,497.7
ghi_wm2,REAL_SATELLITE,18:00,553.0
ghi_wm2,SENS_A_minus10pct,18:00,447.9
ghi_wm2,SENS_B_minus20pct,18:00,398.2
decision_changes_vs_phase2_baseline,REAL_SATELLITE,ALL,1.0
decision_changes_pct,REAL_SATELLITE,ALL,2.4
utci_delta_mean,REAL_SATELLITE,ALL,-0.01
utci_delta_max_abs,REAL_SATELLITE,ALL,1.1
noon_finding_assets_above_32C,REAL_SATELLITE,12:00,14.0
noon_finding_assets_above_32C,REAL_SATELLITE,15:00,14.0
noon_finding_assets_above_32C,REAL_SATELLITE,18:00,14.0
decision_changes_vs_phase2_baseline,SENS_A_minus10pct,ALL,0.0
decision_changes_pct,SENS_A_minus10pct,ALL,0.0
utci_delta_mean,SENS_A_minus10pct,ALL,-0.35
utci_delta_max_abs,SENS_A_minus10pct,ALL,1.1
noon_finding_assets_above_32C,SENS_A_minus10pct,12:00,14.0
noon_finding_assets_above_32C,SENS_A_minus10pct,15:00,14.0
noon_finding_assets_above_32C,SENS_A_minus10pct,18:00,14.0
decision_changes_vs_phase2_baseline,SENS_B_minus20pct,ALL,0.0
decision_changes_pct,SENS_B_minus20pct,ALL,0.0
utci_delta_mean,SENS_B_minus20pct,ALL,-0.74
utci_delta_max_abs,SENS_B_minus20pct,ALL,2.3
noon_finding_assets_above_32C,SENS_B_minus20pct,12:00,14.0
noon_finding_assets_above_32C,SENS_B_minus20pct,15:00,14.0
noon_finding_assets_above_32C,SENS_B_minus20pct,18:00,14.0
